,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
275,The Interpreter,3.5,2.9,18949,"['Thriller', 'Crime']",France
276,The Core,3.0,2.42,28819,"['Science Fiction', 'Thriller', 'Action', 'Adventure']",USA
277,The Sum of All Fears,3.5,2.89,25165,"['Action', 'Thriller', 'Drama']",Canada
278,D-Tox,3.5,2.38,6243,"['Action', 'Horror', 'Thriller']",USA
279,Gone in Sixty Seconds,3.5,2.93,60074,"['Action', 'Thriller', 'Crime']",USA
280,Godzilla,3.5,2.16,79350,"['Action', 'Science Fiction', 'Thriller']",Japan
281,Lake Placid,3.5,2.75,27808,"['Action', 'Thriller', 'Science Fiction', 'Horror', 'Comedy']",USA
282,Money Talks,3.5,2.79,6220,"['Comedy', 'Action']",USA
283,Evidence of Blood,3.5,3.01,184,"['Drama', 'TV Movie', 'Thriller', 'Mystery']",USA
284,Space Cowboys,3.5,2.93,21677,"['Adventure', 'Thriller', 'Action']",USA
285,Murder at 1600,3.5,2.7,5604,"['Crime', 'Action', 'Thriller', 'Mystery', 'Drama']",USA
286,Absolute Power,4.0,3.14,14953,"['Crime', 'Action', 'Drama']",USA
287,Twister,3.5,3.14,87619,"['Action', 'Drama', 'Adventure']",USA
288,Deep Impact,3.5,2.85,49195,"['Drama', 'Action', 'Science Fiction']",USA
289,The Arrival,3.5,2.78,7923,"['Science Fiction', 'Thriller']",Mexico
290,"Honey, We Shrunk Ourselves",3.0,2.38,16081,"['Comedy', 'Adventure', 'Action', 'Family', 'Science Fiction']",USA
291,Police Story 4: First Strike,4.0,3.23,9299,"['Thriller', 'Action', 'Adventure', 'Crime', 'Comedy', 'Drama']",Hong Kong
292,Timecop,3.5,2.8,21056,"['Action', 'Crime', 'Science Fiction', 'Thriller']",USA
293,Under Siege 2: Dark Territory,3.0,2.53,12018,"['Action', 'Thriller']",USA
294,Assassins,4.0,2.8,15242,"['Action', 'Thriller', 'Adventure', 'Crime']",France
295,Die Hard: With a Vengeance,4.5,3.63,112697,"['Action', 'Thriller']",USA
296,Under Siege,3.5,3.01,27571,"['Thriller', 'Action']",France
297,Demolition Man,4.0,3.29,62937,"['Crime', 'Action', 'Science Fiction']",USA
298,Stargate,3.5,3.13,44523,"['Action', 'Science Fiction', 'Adventure']",France
299,Twin Dragons,4.0,3.08,4433,"['Comedy', 'Action']",Hong Kong
300,Dennis the Menace,3.5,2.53,27434,"['Comedy', 'Family']",USA
301,"Honey, I Blew Up the Kid",3.0,2.4,23785,"['Science Fiction', 'Adventure', 'Comedy', 'Family']",USA
302,Stop! Or My Mom Will Shoot,3.5,1.97,12012,"['Action', 'Comedy']",USA
303,Double Impact,3.5,2.7,11472,"['Drama', 'Thriller', 'Crime', 'Action']",USA
304,Home Alone,4.0,3.78,696887,"['Comedy', 'Family']",USA
305,Hudson Hawk,3.5,2.71,17036,"['Action', 'Adventure', 'Comedy']",USA
